year,window,category,count,source,scraped_at
2022,year,assault,267,https://data.opencity.in/dataset/b2d3ff5c-b109-42ad-afe0-b244c26505cd/resource/b70cf1ea-442a-4b23-9216-399f07e6379b/download/2f0461a6-7f09-47f1-ae1e-43b68d888599.pdf,2026-05-15T22:26:40.493Z
2022,year,burglary,905,https://data.opencity.in/dataset/b2d3ff5c-b109-42ad-afe0-b244c26505cd/resource/b70cf1ea-442a-4b23-9216-399f07e6379b/download/2f0461a6-7f09-47f1-ae1e-43b68d888599.pdf,2026-05-15T22:26:40.493Z
2022,year,harassment,1767,https://data.opencity.in/dataset/b2d3ff5c-b109-42ad-afe0-b244c26505cd/resource/b70cf1ea-442a-4b23-9216-399f07e6379b/download/2f0461a6-7f09-47f1-ae1e-43b68d888599.pdf,2026-05-15T22:26:40.493Z
2022,year,kidnapping,787,https://data.opencity.in/dataset/b2d3ff5c-b109-42ad-afe0-b244c26505cd/resource/b70cf1ea-442a-4b23-9216-399f07e6379b/download/2f0461a6-7f09-47f1-ae1e-43b68d888599.pdf,2026-05-15T22:26:40.493Z
2022,year,robbery,177,https://data.opencity.in/dataset/b2d3ff5c-b109-42ad-afe0-b244c26505cd/resource/b70cf1ea-442a-4b23-9216-399f07e6379b/download/2f0461a6-7f09-47f1-ae1e-43b68d888599.pdf,2026-05-15T22:26:40.493Z
2022,year,sexual_offence,1110,https://data.opencity.in/dataset/b2d3ff5c-b109-42ad-afe0-b244c26505cd/resource/b70cf1ea-442a-4b23-9216-399f07e6379b/download/2f0461a6-7f09-47f1-ae1e-43b68d888599.pdf,2026-05-15T22:26:40.493Z
2022,year,theft,9467,https://data.opencity.in/dataset/b2d3ff5c-b109-42ad-afe0-b244c26505cd/resource/b70cf1ea-442a-4b23-9216-399f07e6379b/download/2f0461a6-7f09-47f1-ae1e-43b68d888599.pdf,2026-05-15T22:26:40.493Z
