year,window,category,count,source,scraped_at
2022,year,assault,150,https://www.tribuneindia.com/news/haryana/looking-back-2022-crime-graph-rose-so-did-rate-of-recovery-in-gurugram-466245/,2026-05-15T18:00:00.000Z
2022,year,burglary,520,https://www.tribuneindia.com/news/haryana/looking-back-2022-crime-graph-rose-so-did-rate-of-recovery-in-gurugram-466245/,2026-05-15T18:00:00.000Z
2022,year,harassment,260,https://www.tribuneindia.com/news/haryana/looking-back-2022-crime-graph-rose-so-did-rate-of-recovery-in-gurugram-466245/,2026-05-15T18:00:00.000Z
2022,year,kidnapping,300,https://www.tribuneindia.com/news/haryana/looking-back-2022-crime-graph-rose-so-did-rate-of-recovery-in-gurugram-466245/,2026-05-15T18:00:00.000Z
2022,year,other,1500,https://www.tribuneindia.com/news/haryana/looking-back-2022-crime-graph-rose-so-did-rate-of-recovery-in-gurugram-466245/,2026-05-15T18:00:00.000Z
2022,year,robbery,80,https://www.tribuneindia.com/news/haryana/looking-back-2022-crime-graph-rose-so-did-rate-of-recovery-in-gurugram-466245/,2026-05-15T18:00:00.000Z
2022,year,sexual_offence,200,https://www.tribuneindia.com/news/haryana/looking-back-2022-crime-graph-rose-so-did-rate-of-recovery-in-gurugram-466245/,2026-05-15T18:00:00.000Z
2022,year,theft,4400,https://www.tribuneindia.com/news/haryana/looking-back-2022-crime-graph-rose-so-did-rate-of-recovery-in-gurugram-466245/,2026-05-15T18:00:00.000Z
