year,window,category,count,source,scraped_at
2023,year,assault,94,https://data.opencity.in/dataset/178dac25-3381-4fd3-8793-66b77ffd549a/resource/899d2a98-20fc-4627-b202-a04a5aef387e/download/tn_2023_ipc_sll_2021_23_totals.csv,2026-05-15T13:56:32.102Z
2023,year,harassment,226,https://data.opencity.in/dataset/178dac25-3381-4fd3-8793-66b77ffd549a/resource/899d2a98-20fc-4627-b202-a04a5aef387e/download/tn_2023_ipc_sll_2021_23_totals.csv,2026-05-15T13:56:32.102Z
2023,year,sexual_offence,22,https://data.opencity.in/dataset/178dac25-3381-4fd3-8793-66b77ffd549a/resource/899d2a98-20fc-4627-b202-a04a5aef387e/download/tn_2023_ipc_sll_2021_23_totals.csv,2026-05-15T13:56:32.102Z
