year,window,category,count,source,scraped_at
2022,year,assault,96,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,burglary,36,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,harassment,3,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,kidnapping,16,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,robbery,19,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,sexual_offence,28,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,theft,392,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
