year,window,category,count,source,scraped_at
2022,year,assault,49,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,burglary,45,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,kidnapping,26,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,robbery,2,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,theft,132,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
