year,window,category,count,source,scraped_at
2022,year,assault,141,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,burglary,164,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,harassment,53,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,kidnapping,64,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,robbery,38,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,sexual_offence,25,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,theft,642,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
