year,window,category,count,source,scraped_at
2022,year,assault,38,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,burglary,24,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,harassment,14,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,kidnapping,13,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,robbery,4,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,sexual_offence,37,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,theft,15,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
