year,window,category,count,source,scraped_at
2021,year,assault,2580,https://delhipolice.gov.in/Images/HTMLfiles/Crime%20In%20Delhi(2).pdf,2026-05-15T16:21:44.441Z
2021,year,burglary,5122,https://delhipolice.gov.in/Images/HTMLfiles/Crime%20In%20Delhi(2).pdf,2026-05-15T16:21:44.441Z
2021,year,harassment,2551,https://delhipolice.gov.in/Images/HTMLfiles/Crime%20In%20Delhi(2).pdf,2026-05-15T16:21:44.441Z
2021,year,kidnapping,5527,https://delhipolice.gov.in/Images/HTMLfiles/Crime%20In%20Delhi(2).pdf,2026-05-15T16:21:44.441Z
2021,year,other,70872,https://delhipolice.gov.in/Images/HTMLfiles/Crime%20In%20Delhi(2).pdf,2026-05-15T16:21:44.441Z
2021,year,robbery,2359,https://delhipolice.gov.in/Images/HTMLfiles/Crime%20In%20Delhi(2).pdf,2026-05-15T16:21:44.441Z
2021,year,sexual_offence,2076,https://delhipolice.gov.in/Images/HTMLfiles/Crime%20In%20Delhi(2).pdf,2026-05-15T16:21:44.441Z
2021,year,theft,197496,https://delhipolice.gov.in/Images/HTMLfiles/Crime%20In%20Delhi(2).pdf,2026-05-15T16:21:44.441Z
