year,window,category,count,source,scraped_at
2022,year,assault,94,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,burglary,77,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,harassment,58,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,kidnapping,29,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,robbery,30,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,sexual_offence,36,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
2022,year,theft,400,Mixed: NCRB Vol 1 + NCRB District-wise IPC Crimes 2022 + state police annual reports (see methodology),2026-05-15T23:47:23.639Z
